PS Power, PL Power, MGT Power, Total Power
 0.011, 0.894, 0.000, 0.906
 0.011, 1.317, 0.000, 1.329
 0.012, 1.066, 0.000, 1.078
 0.011, 1.223, 0.000, 1.234
 0.012, 1.160, 0.000, 1.172
 0.012, 1.358, 0.000, 1.370
 0.011, 1.307, 0.000, 1.318
 0.012, 0.740, 0.000, 0.752
 0.012, 1.015, 0.000, 1.027
 0.012, 0.971, 0.000, 0.983
 0.012, 1.157, 0.000, 1.169
 0.012, 1.136, 0.000, 1.148
 0.012, 1.370, 0.000, 1.381
 0.015, 0.931, 0.000, 0.945
 0.014, 1.072, 0.000, 1.087
 0.012, 1.161, 0.000, 1.173
 0.012, 1.019, 0.000, 1.031
 0.012, 1.015, 0.000, 1.027
 0.012, 0.941, 0.000, 0.953
 0.015, 0.620, 0.000, 0.635
 0.010, 0.133, 0.000, 0.143
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.011, 0.120, 0.000, 0.131
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.012, 0.771, 0.000, 0.783
 0.012, 1.026, 0.000, 1.038
 0.011, 1.315, 0.000, 1.326
 0.011, 1.125, 0.000, 1.136
 0.012, 0.729, 0.000, 0.741
 0.011, 0.893, 0.000, 0.904
 0.012, 1.238, 0.000, 1.250
 0.011, 1.301, 0.000, 1.313
 0.013, 0.851, 0.000, 0.864
 0.011, 1.069, 0.000, 1.081
 0.012, 1.162, 0.000, 1.174
 0.011, 1.355, 0.000, 1.366
 0.014, 0.936, 0.000, 0.950
 0.014, 0.985, 0.000, 0.999
 0.012, 1.303, 0.000, 1.315
 0.011, 1.254, 0.000, 1.266
 0.012, 0.981, 0.000, 0.993
 0.012, 0.860, 0.000, 0.872
 0.012, 1.174, 0.000, 1.186
 0.011, 1.216, 0.000, 1.227
 0.012, 0.981, 0.000, 0.993
 0.012, 0.857, 0.000, 0.869
 0.012, 1.124, 0.000, 1.135
 0.011, 1.309, 0.000, 1.320
 0.012, 0.887, 0.000, 0.899
 0.012, 1.047, 0.000, 1.059
 0.012, 1.223, 0.000, 1.234
 0.011, 1.170, 0.000, 1.182
 0.014, 1.024, 0.000, 1.038
 0.009, 0.483, 0.000, 0.491
 0.011, 0.133, 0.000, 0.144
 0.010, 0.132, 0.000, 0.142
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.009, 0.120, 0.000, 0.129
 0.014, 0.120, 0.000, 0.134
 0.010, 0.120, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 1.059, 0.000, 1.070
 0.012, 0.989, 0.000, 1.001
 0.011, 1.210, 0.000, 1.221
 0.012, 0.896, 0.000, 0.908
 0.012, 0.779, 0.000, 0.791
 0.012, 1.071, 0.000, 1.084
 0.014, 0.970, 0.000, 0.984
 0.012, 1.166, 0.000, 1.177
 0.012, 0.989, 0.000, 1.001
 0.012, 1.371, 0.000, 1.383
 0.012, 1.159, 0.000, 1.171
 0.012, 1.190, 0.000, 1.202
 0.012, 0.925, 0.000, 0.938
 0.012, 0.808, 0.000, 0.820
 0.012, 0.855, 0.000, 0.866
 0.012, 1.111, 0.000, 1.123
 0.012, 1.173, 0.000, 1.185
 0.014, 0.939, 0.000, 0.954
 0.011, 1.484, 0.000, 1.495
 0.012, 0.981, 0.000, 0.993
 0.012, 0.984, 0.000, 0.996
 0.015, 0.621, 0.000, 0.636
 0.011, 1.133, 0.000, 1.144
 0.012, 1.027, 0.000, 1.039
 0.012, 1.359, 0.000, 1.371
 0.014, 0.697, 0.000, 0.711
 0.012, 1.406, 0.000, 1.418
 0.011, 1.368, 0.000, 1.380
 0.012, 1.109, 0.000, 1.121
 0.009, 0.486, 0.000, 0.495
 0.010, 0.133, 0.000, 0.144
 0.010, 0.132, 0.000, 0.142
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.129, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.011, 0.120, 0.000, 0.131
 0.011, 0.120, 0.000, 0.130
 0.013, 0.733, 0.000, 0.746
 0.012, 0.908, 0.000, 0.919
 0.012, 0.848, 0.000, 0.860
 0.012, 0.891, 0.000, 0.903
 0.014, 0.980, 0.000, 0.994
 0.014, 0.589, 0.000, 0.603
 0.012, 0.896, 0.000, 0.907
 0.012, 1.320, 0.000, 1.332
 0.012, 0.882, 0.000, 0.894
 0.014, 0.628, 0.000, 0.643
 0.012, 1.022, 0.000, 1.034
 0.013, 0.627, 0.000, 0.639
 0.012, 1.080, 0.000, 1.092
 0.012, 1.063, 0.000, 1.076
 0.012, 0.984, 0.000, 0.997
 0.013, 0.903, 0.000, 0.916
 0.012, 0.697, 0.000, 0.709
 0.012, 1.355, 0.000, 1.367
 0.012, 1.109, 0.000, 1.121
 0.014, 0.689, 0.000, 0.704
 0.012, 0.986, 0.000, 0.998
 0.014, 0.775, 0.000, 0.789
 0.012, 0.980, 0.000, 0.993
 0.012, 0.903, 0.000, 0.915
 0.012, 1.064, 0.000, 1.076
 0.012, 0.978, 0.000, 0.990
 0.015, 0.732, 0.000, 0.747
 0.012, 1.158, 0.000, 1.170
 0.012, 1.064, 0.000, 1.077
 0.012, 1.196, 0.000, 1.208
 0.011, 0.134, 0.000, 0.144
 0.010, 0.132, 0.000, 0.142
 0.010, 0.130, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.011, 0.120, 0.000, 0.131
 0.010, 0.120, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.015, 0.587, 0.000, 0.602
 0.012, 0.801, 0.000, 0.814
 0.012, 0.735, 0.000, 0.748
 0.015, 0.765, 0.000, 0.779
 0.012, 0.737, 0.000, 0.750
 0.011, 0.814, 0.000, 0.825
 0.012, 1.218, 0.000, 1.230
 0.012, 1.024, 0.000, 1.036
 0.013, 0.666, 0.000, 0.679
 0.012, 0.780, 0.000, 0.791
 0.012, 0.893, 0.000, 0.905
 0.012, 0.976, 0.000, 0.988
 0.012, 0.973, 0.000, 0.984
 0.014, 1.013, 0.000, 1.027
 0.011, 1.241, 0.000, 1.252
 0.012, 1.371, 0.000, 1.383
 0.012, 1.253, 0.000, 1.265
 0.012, 1.122, 0.000, 1.134
 0.012, 0.944, 0.000, 0.956
 0.012, 1.304, 0.000, 1.316
 0.012, 1.078, 0.000, 1.090
 0.015, 0.950, 0.000, 0.965
 0.012, 0.968, 0.000, 0.980
 0.012, 0.850, 0.000, 0.862
 0.014, 0.860, 0.000, 0.874
 0.014, 0.844, 0.000, 0.858
 0.012, 0.776, 0.000, 0.787
 0.011, 1.191, 0.000, 1.202
 0.011, 1.309, 0.000, 1.320
 0.014, 0.736, 0.000, 0.750
 0.010, 0.132, 0.000, 0.143
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.017, 0.120, 0.000, 0.136
 0.011, 0.119, 0.000, 0.130
 0.011, 0.810, 0.000, 0.822
 0.012, 0.902, 0.000, 0.915
 0.012, 0.734, 0.000, 0.746
 0.011, 1.068, 0.000, 1.079
 0.012, 0.976, 0.000, 0.988
 0.012, 1.331, 0.000, 1.343
 0.011, 1.312, 0.000, 1.324
 0.014, 0.976, 0.000, 0.991
 0.012, 1.108, 0.000, 1.120
 0.012, 0.985, 0.000, 0.997
 0.012, 1.110, 0.000, 1.122
 0.012, 0.846, 0.000, 0.858
 0.012, 1.128, 0.000, 1.139
 0.018, 0.591, 0.000, 0.609
 0.012, 1.028, 0.000, 1.040
 0.012, 1.269, 0.000, 1.280
 0.012, 1.062, 0.000, 1.074
 0.012, 1.263, 0.000, 1.275
 0.012, 1.034, 0.000, 1.047
 0.013, 0.723, 0.000, 0.736
 0.014, 0.806, 0.000, 0.820
 0.012, 1.033, 0.000, 1.045
 0.012, 0.856, 0.000, 0.868
 0.012, 1.214, 0.000, 1.226
 0.012, 1.305, 0.000, 1.316
 0.012, 0.813, 0.000, 0.825
 0.012, 0.979, 0.000, 0.991
 0.012, 1.016, 0.000, 1.029
 0.012, 1.077, 0.000, 1.089
 0.014, 0.982, 0.000, 0.996
 0.011, 0.134, 0.000, 0.145
 0.010, 0.132, 0.000, 0.142
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
