PS Power, PL Power, MGT Power, Total Power
 0.011, 1.364, 0.000, 1.375
 0.011, 1.301, 0.000, 1.312
 0.016, 0.685, 0.000, 0.700
 0.012, 1.102, 0.000, 1.113
 0.012, 1.108, 0.000, 1.121
 0.010, 0.132, 0.000, 0.142
 0.010, 0.130, 0.000, 0.141
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.138
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.130
 0.010, 0.119, 0.000, 0.129
 0.009, 0.119, 0.000, 0.128
 0.009, 0.119, 0.000, 0.127
 0.011, 0.118, 0.000, 0.129
 0.011, 0.118, 0.000, 0.129
 0.011, 1.184, 0.000, 1.195
 0.011, 1.169, 0.000, 1.180
 0.012, 0.615, 0.000, 0.627
 0.012, 1.024, 0.000, 1.036
 0.015, 0.515, 0.000, 0.530
 0.012, 1.072, 0.000, 1.084
 0.012, 0.845, 0.000, 0.858
 0.012, 1.118, 0.000, 1.130
 0.012, 1.069, 0.000, 1.080
 0.012, 1.119, 0.000, 1.131
 0.012, 1.066, 0.000, 1.078
 0.011, 1.266, 0.000, 1.277
 0.014, 0.959, 0.000, 0.973
 0.012, 1.118, 0.000, 1.130
 0.012, 1.034, 0.000, 1.046
 0.014, 0.934, 0.000, 0.948
 0.012, 1.206, 0.000, 1.218
 0.012, 1.213, 0.000, 1.225
 0.012, 1.196, 0.000, 1.208
 0.012, 1.107, 0.000, 1.119
 0.012, 1.262, 0.000, 1.274
 0.012, 0.970, 0.000, 0.982
 0.014, 0.738, 0.000, 0.752
 0.012, 1.019, 0.000, 1.031
 0.012, 1.174, 0.000, 1.185
 0.012, 0.736, 0.000, 0.748
 0.012, 1.165, 0.000, 1.177
 0.012, 1.211, 0.000, 1.223
 0.018, 0.561, 0.000, 0.578
 0.012, 1.106, 0.000, 1.118
 0.011, 0.134, 0.000, 0.144
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.129, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.017, 0.119, 0.000, 0.136
 0.008, 0.208, 0.000, 0.216
 0.008, 0.422, 0.000, 0.431
 0.008, 0.393, 0.000, 0.401
